,TX HASH,COINBASE,VERSION,VIN,VOUT,SHIELDEDSPEND,SHIELDEDOUT,NS
497415,59d3202bae,0,4,0,0,1.0,2.0,34726200
497421,9e196318da,0,4,0,0,2.0,2.0,65782900
498157,035e81b98d,0,4,0,1,1.0,1.0,33659300
500746,377d5116ae,0,4,1,0,0.0,1.0,14921600
501449,959d2bd29c,0,4,3,0,0.0,1.0,25653900
501455,b0701becfb,0,4,0,0,1.0,2.0,89795000
501470,5ccde068bf,0,4,0,0,1.0,2.0,70476700
501473,15e5cdc72a,0,4,0,0,1.0,2.0,62108900
501557,60f42c73a4,0,4,0,1,3.0,0.0,85934800
501609,4ab7e4ae36,0,4,1,0,4.0,1.0,364838400
501838,458e212607,0,4,1,0,0.0,1.0,39030200
502136,8c02874c04,0,4,0,0,1.0,2.0,51189200
503139,f0f4daf773,0,4,1,0,0.0,1.0,17198700
503148,3968697ec9,0,4,0,0,1.0,2.0,35397400
503204,cdb8715b01,0,4,0,0,1.0,2.0,37098000
504633,1f43533cba,0,4,0,0,1.0,2.0,33836300
504636,08f1f62428,0,4,0,0,1.0,2.0,49980800
504781,2ff8d3e5d1,0,4,1,0,0.0,1.0,19386400
504829,0ed3005911,0,4,0,0,1.0,2.0,34373300
504860,20b15432f3,0,4,0,0,1.0,2.0,31481400
505344,966e1306b5,0,4,0,0,1.0,2.0,56226700
505565,4e9a0a99d9,0,4,1,0,0.0,1.0,14167600
505593,26d259e133,0,4,1,0,0.0,1.0,12578400
505762,c5b21c095c,0,4,1,0,0.0,1.0,18112900
506803,c76fa76e84,0,4,1,0,0.0,1.0,18971700
506808,47136be804,0,4,0,0,1.0,2.0,44938700
507410,be4b489a58,0,4,1,0,0.0,1.0,16400100
508387,58dc91291b,0,4,0,1,1.0,1.0,19088600
508688,2c6ea6b757,0,4,1,0,0.0,1.0,18774700
508697,e64a4c1252,0,4,0,0,1.0,2.0,41069500
508780,1b304f5b75,0,4,0,1,2.0,1.0,36370700
508793,2139a18f92,0,4,0,1,1.0,1.0,27959600
